Ticket_ID,Status,Priority,Source,Topic,Category,Agent_Group,Created_time,Expected_SLA_resolve,Resolution_Duration,SLA_Status,Survey_Results,Country,Latitude,Longitude,Agent_interactions
TIC-5000,Closed,Critical,Chat,Access Revoked,Security,Network Ops,25-11-2025 07:14,4,2.84,On-Time,3,Germany,51.16,10.45,6
TIC-5001,Closed,Medium,Email,Wi-Fi Access,Network,Infrastructure,19-07-2025 11:09,24,27.19,Breached,4,Germany,51.16,10.45,8
TIC-5002,Resolved,Critical,Chat,Printer,Hardware,L2 Technical Support,01-05-2025 22:29,4,2.96,On-Time,,India,20.59,78.96,2
TIC-5003,Closed,High,Email,Bug Report,Software,Security Admin,19-06-2025 07:21,8,1.89,On-Time,2,UK,55.37,-3.43,8
TIC-5004,Closed,Low,Chat,Update Failure,Software,L1 Service Desk,17-01-2025 06:30,48,10.85,On-Time,2,Brazil,-14.23,-51.92,3
TIC-5005,Resolved,High,Phone,Wi-Fi Access,Network,Security Admin,27-07-2025 15:38,8,8.43,Breached,,India,20.59,78.96,4
TIC-5006,Closed,Critical,Phone,Monitor Issue,Hardware,L1 Service Desk,14-02-2025 00:43,4,3.21,On-Time,1,USA,37.09,-95.71,6
TIC-5007,Closed,Medium,Email,Access Revoked,Security,Infrastructure,07-02-2025 12:41,24,16.75,On-Time,3,India,20.59,78.96,2
TIC-5008,Open,Medium,Phone,Keyboard/Mouse,Hardware,Infrastructure,03-04-2025 17:48,24,,Pending,,Brazil,-14.23,-51.92,4
TIC-5009,Closed,Low,Chat,Update Failure,Software,L1 Service Desk,19-01-2025 10:13,48,51.26,Breached,2,Brazil,-14.23,-51.92,10
TIC-5010,Closed,Low,Chat,Port Request,Network,L2 Technical Support,31-07-2025 17:27,48,77.32,Breached,1,India,20.59,78.96,6
TIC-5011,Open,Medium,Phone,Slow Internet,Network,L1 Service Desk,26-06-2025 06:13,24,,Pending,,Germany,51.16,10.45,2
TIC-5012,Closed,Low,Portal,Password Reset,Security,Infrastructure,04-09-2025 19:52,48,43.75,On-Time,2,Germany,51.16,10.45,7
TIC-5013,Closed,Low,Chat,Update Failure,Software,Infrastructure,16-11-2025 15:48,48,34.52,On-Time,4,Germany,51.16,10.45,3
TIC-5014,Closed,Low,Phone,Slow Internet,Network,Security Admin,02-08-2025 16:12,48,77.67,Breached,3,Germany,51.16,10.45,1
TIC-5015,Closed,Medium,Phone,Laptop Repair,Hardware,L2 Technical Support,07-06-2025 14:33,24,14.62,On-Time,4,India,20.59,78.96,8
TIC-5016,Closed,Medium,Phone,Suspicious Email,Security,L1 Service Desk,03-02-2025 11:27,24,15.12,On-Time,4,USA,37.09,-95.71,3
TIC-5017,Closed,High,Portal,Laptop Repair,Hardware,L2 Technical Support,14-07-2025 15:07,8,10.14,Breached,3,UK,55.37,-3.43,1
TIC-5018,Closed,Medium,Chat,Laptop Repair,Hardware,Security Admin,29-06-2025 22:45,24,42.35,Breached,2,India,20.59,78.96,1
TIC-5019,Closed,Critical,Chat,Monitor Issue,Hardware,Infrastructure,30-12-2025 17:13,4,3.23,On-Time,3,USA,37.09,-95.71,2
TIC-5020,Resolved,Medium,Chat,Keyboard/Mouse,Hardware,Security Admin,13-10-2025 18:05,24,22.3,On-Time,,Germany,51.16,10.45,1
TIC-5021,Closed,Medium,Email,Wi-Fi Access,Network,L2 Technical Support,22-04-2025 04:13,24,28.85,Breached,3,India,20.59,78.96,4
TIC-5022,Closed,High,Portal,Keyboard/Mouse,Hardware,Network Ops,18-04-2025 16:49,8,11.96,Breached,1,Germany,51.16,10.45,1
TIC-5023,Closed,Low,Chat,Printer,Hardware,Infrastructure,30-12-2025 22:09,48,24.48,On-Time,1,USA,37.09,-95.71,4
TIC-5024,Closed,Medium,Phone,Bug Report,Software,L2 Technical Support,03-11-2025 07:33,24,7.2,On-Time,1,Germany,51.16,10.45,10
TIC-5025,Closed,High,Chat,VPN Drop,Network,Infrastructure,13-03-2025 07:12,8,7.54,On-Time,3,Germany,51.16,10.45,2
