Ticket_ID,Status,Priority,Source,Topic,Category,Agent_Group,Created_time,Expected_SLA_resolve,Resolution_Duration,SLA_Status,Survey_Results,Country,Latitude,Longitude,Agent_interactions,Resolution_Imputed,Survey_Imputed,Resolution_Gap,Response_Efficiency,Normalized_Speed,Normalized_Satisfaction,Similarity_Score,Performance_Bucket
TIC-5000,Closed,Critical,Chat,Access Revoked,Security,Network Ops,2025-11-25 07:14:00,4,2.84,On-Time,3.0,Germany,51.16,10.45,6,0,0,1.1600000000000001,0.5714285714285714,0.29000000000000004,0.5,0.374,Low Efficiency
TIC-5001,Closed,Medium,Email,Wi-Fi Access,Network,Infrastructure,2025-07-19 11:09:00,24,27.19,Breached,4.0,Germany,51.16,10.45,8,0,0,-3.1900000000000013,2.6666666666666665,-0.1329166666666668,0.75,0.22024999999999997,Low Efficiency
TIC-5002,Resolved,Critical,Chat,Printer,Hardware,L2 Technical Support,2025-05-01 22:29:00,4,2.96,On-Time,3.022642390289449,India,20.59,78.96,2,0,1,1.04,1.3333333333333333,0.26,0.5056605975723623,0.3582642390289449,Low Efficiency
TIC-5003,Closed,High,Email,Bug Report,Software,Security Admin,2025-06-19 07:21:00,8,1.89,On-Time,2.0,UK,55.37,-3.43,8,0,0,6.11,0.8888888888888888,0.76375,0.25,0.55825,Standard
TIC-5004,Closed,Low,Chat,Update Failure,Software,L1 Service Desk,2025-01-17 06:30:00,48,10.85,On-Time,2.0,Brazil,-14.23,-51.92,3,0,0,37.15,12.0,0.7739583333333333,0.25,0.564375,Standard
TIC-5005,Resolved,High,Phone,Wi-Fi Access,Network,Security Admin,2025-07-27 15:38:00,8,8.43,Breached,3.022642390289449,India,20.59,78.96,4,0,1,-0.4299999999999997,1.6,-0.053749999999999964,0.5056605975723623,0.17001423902894494,Low Efficiency
TIC-5006,Closed,Critical,Phone,Monitor Issue,Hardware,L1 Service Desk,2025-02-14 00:43:00,4,3.21,On-Time,1.0,USA,37.09,-95.71,6,0,0,0.79,0.5714285714285714,0.1975,0.0,0.1185,Low Efficiency
TIC-5007,Closed,Medium,Email,Access Revoked,Security,Infrastructure,2025-02-07 12:41:00,24,16.75,On-Time,3.0,India,20.59,78.96,2,0,0,7.25,8.0,0.30208333333333337,0.5,0.38125000000000003,Low Efficiency
TIC-5008,Open,Medium,Phone,Keyboard/Mouse,Hardware,Infrastructure,2025-04-03 17:48:00,24,,Pending,3.022642390289449,Brazil,-14.23,-51.92,4,1,1,,4.8,,0.5056605975723623,,Pending
TIC-5009,Closed,Low,Chat,Update Failure,Software,L1 Service Desk,2025-01-19 10:13:00,48,51.26,Breached,2.0,Brazil,-14.23,-51.92,10,0,0,-3.259999999999998,4.363636363636363,-0.06791666666666663,0.25,0.05925000000000003,Low Efficiency
TIC-5010,Closed,Low,Chat,Port Request,Network,L2 Technical Support,2025-07-31 17:27:00,48,77.32,Breached,1.0,India,20.59,78.96,6,0,0,-29.319999999999993,6.857142857142857,-0.6108333333333331,0.0,0.0,Low Efficiency
TIC-5011,Open,Medium,Phone,Slow Internet,Network,L1 Service Desk,2025-06-26 06:13:00,24,,Pending,3.022642390289449,Germany,51.16,10.45,2,1,1,,8.0,,0.5056605975723623,,Pending
TIC-5012,Closed,Low,Portal,Password Reset,Security,Infrastructure,2025-09-04 19:52:00,48,43.75,On-Time,2.0,Germany,51.16,10.45,7,0,0,4.25,6.0,0.08854166666666663,0.25,0.15312499999999998,Low Efficiency
TIC-5013,Closed,Low,Chat,Update Failure,Software,Infrastructure,2025-11-16 15:48:00,48,34.52,On-Time,4.0,Germany,51.16,10.45,3,0,0,13.479999999999997,12.0,0.28083333333333327,0.75,0.4685,Standard
TIC-5014,Closed,Low,Phone,Slow Internet,Network,Security Admin,2025-08-02 16:12:00,48,77.67,Breached,3.0,Germany,51.16,10.45,1,0,0,-29.67,24.0,-0.618125,0.5,0.0,Low Efficiency
TIC-5015,Closed,Medium,Phone,Laptop Repair,Hardware,L2 Technical Support,2025-06-07 14:33:00,24,14.62,On-Time,4.0,India,20.59,78.96,8,0,0,9.38,2.6666666666666665,0.39083333333333337,0.75,0.5345000000000001,Standard
TIC-5016,Closed,Medium,Phone,Suspicious Email,Security,L1 Service Desk,2025-02-03 11:27:00,24,15.12,On-Time,4.0,USA,37.09,-95.71,3,0,0,8.88,6.0,0.37,0.75,0.522,Standard
TIC-5017,Closed,High,Portal,Laptop Repair,Hardware,L2 Technical Support,2025-07-14 15:07:00,8,10.14,Breached,3.0,UK,55.37,-3.43,1,0,0,-2.1400000000000006,4.0,-0.26750000000000007,0.5,0.03949999999999998,Low Efficiency
TIC-5018,Closed,Medium,Chat,Laptop Repair,Hardware,Security Admin,2025-06-29 22:45:00,24,42.35,Breached,2.0,India,20.59,78.96,1,0,0,-18.35,12.0,-0.7645833333333334,0.25,0.0,Low Efficiency
TIC-5019,Closed,Critical,Chat,Monitor Issue,Hardware,Infrastructure,2025-12-30 17:13:00,4,3.23,On-Time,3.0,USA,37.09,-95.71,2,0,0,0.77,1.3333333333333333,0.1925,0.5,0.3155,Low Efficiency
TIC-5020,Resolved,Medium,Chat,Keyboard/Mouse,Hardware,Security Admin,2025-10-13 18:05:00,24,22.3,On-Time,3.022642390289449,Germany,51.16,10.45,1,0,1,1.6999999999999993,12.0,0.0708333333333333,0.5056605975723623,0.2447642390289449,Low Efficiency
TIC-5021,Closed,Medium,Email,Wi-Fi Access,Network,L2 Technical Support,2025-04-22 04:13:00,24,28.85,Breached,3.0,India,20.59,78.96,4,0,0,-4.850000000000001,4.8,-0.2020833333333334,0.5,0.07874999999999999,Low Efficiency
TIC-5022,Closed,High,Portal,Keyboard/Mouse,Hardware,Network Ops,2025-04-18 16:49:00,8,11.96,Breached,1.0,Germany,51.16,10.45,1,0,0,-3.960000000000001,4.0,-0.4950000000000001,0.0,0.0,Low Efficiency
TIC-5023,Closed,Low,Chat,Printer,Hardware,Infrastructure,2025-12-30 22:09:00,48,24.48,On-Time,1.0,USA,37.09,-95.71,4,0,0,23.52,9.6,0.49,0.0,0.294,Low Efficiency
TIC-5024,Closed,Medium,Phone,Bug Report,Software,L2 Technical Support,2025-11-03 07:33:00,24,7.2,On-Time,1.0,Germany,51.16,10.45,10,0,0,16.8,2.1818181818181817,0.7,0.0,0.42,Standard
TIC-5025,Closed,High,Chat,VPN Drop,Network,Infrastructure,2025-03-13 07:12:00,8,7.54,On-Time,3.0,Germany,51.16,10.45,2,0,0,0.45999999999999996,2.6666666666666665,0.057499999999999996,0.5,0.23450000000000001,Low Efficiency
TIC-5026,Closed,Low,Chat,Access Revoked,Security,L2 Technical Support,2025-12-27 21:40:00,48,44.44,On-Time,3.0,India,20.59,78.96,3,0,0,3.5600000000000023,12.0,0.07416666666666671,0.5,0.24450000000000005,Low Efficiency
TIC-5027,Closed,Low,Email,Wi-Fi Access,Network,Network Ops,2025-09-03 13:54:00,48,69.27,Breached,5.0,Brazil,-14.23,-51.92,8,0,0,-21.269999999999996,5.333333333333333,-0.443125,1.0,0.13412500000000005,Low Efficiency
TIC-5028,Closed,Low,Phone,Laptop Repair,Hardware,Security Admin,2025-06-06 05:10:00,48,57.0,Breached,3.0,USA,37.09,-95.71,5,0,0,-9.0,8.0,-0.1875,0.5,0.08750000000000002,Low Efficiency
