Ticket_ID,Ticket_Type,Queue,Priority,Assigned_Team,Category,Status,Created_Date,Resolved_Date,Region
IT001,Incident,General Inquiry,low,1 - Junior,Technical,Open,15-06-2024,15-06-2024,EU
IT002,Request,Customer Service,medium,2 - Regular,Sales,Open,15-06-2024,15-06-2024,NA
IT003,Request,Customer Service,medium,2 - Regular,Product,In Progress,16-06-2024,16-06-2024,MEA
IT004,Incident,Customer Service,high,4 - Management,Breach,Resolved,17-06-2024,17-06-2024,LATAM
IT005,Request,Customer Service,medium,1 - Junior,Customer,In Progress,20-06-2024,20-06-2024,NA
IT006,Request,Technical Support,medium,4 - Management,Product,Open,23-06-2024,23-06-2024,NA
IT007,Request,Technical Support,medium,3 - Senior,Security,Resolved,26-06-2024,26-06-2024,APAC
IT008,Problem,IT Support,high,4 - Management,Integration,Open,29-06-2024,16-06-2024,NA
IT009,Problem,Product Support,high,2 - Regular,Bug,Open,15-06-2024,17-06-2024,APAC
IT010,Problem,Product Support,high,3 - Senior,Performance,In Progress,15-06-2024,20-06-2024,APAC
IT011,Problem,Technical Support,high,3 - Senior,Outage,Resolved,16-06-2024,23-06-2024,EU
IT012,Incident,Technical Support,high,2 - Regular,Bug,In Progress,17-06-2024,26-06-2024,NA
IT013,Request,Technical Support,medium,2 - Regular,Strategy,Open,20-06-2024,29-06-2024,NA
IT014,Incident,Technical Support,low,4 - Management,Bug,Resolved,23-06-2024,15-06-2024,LATAM
IT015,Incident,Technical Support,high,3 - Senior,Network,In Progress,26-06-2024,15-06-2024,MEA
IT016,Problem,Customer Service,low,4 - Management,Performance,Open,29-06-2024,17-06-2024,EU
IT017,Change,Product Support,low,2 - Regular,IT,Open,29-06-2024,26-06-2024,EU
IT018,Problem,Technical Support,high,2 - Regular,Crash,Open,15-06-2024,29-06-2024,LATAM
IT019,Incident,Customer Service,high,4 - Management,Security,In Progress,15-06-2024,29-06-2024,MEA
IT020,Incident,Product Support,high,3 - Senior,Breach,Resolved,16-06-2024,15-06-2024,LATAM
IT021,Problem,Technical Support,medium,4 - Management,Performance,In Progress,17-06-2024,29-06-2024,APAC
IT022,Change,IT Support,medium,2 - Regular,Security,Open,20-06-2024,15-06-2024,MEA
IT023,Request,Billing and Payments,medium,3 - Senior,Documentation,Resolved,23-06-2024,15-06-2024,NA
IT024,Incident,Technical Support,medium,4 - Management,Performance,Open,26-06-2024,16-06-2024,NA
IT025,Incident,Technical Support,medium,4 - Management,Performance,Open,29-06-2024,15-06-2024,EU
IT026,Incident,Technical Support,high,2 - Regular,Breach,In Progress,29-06-2024,15-06-2024,LATAM
IT027,Request,Customer Service,low,4 - Management,Compliance,Resolved,15-06-2024,15-06-2024,LATAM
IT028,Request,Product Support,high,2 - Regular,Customer,In Progress,15-06-2024,17-06-2024,EU
IT029,Request,Service Outages and Maintenance,high,2 - Regular,Integration,Open,16-06-2024,23-06-2024,NA
IT030,Problem,Product Support,medium,2 - Regular,Security,Resolved,17-06-2024,26-06-2024,NA
IT031,Incident,Billing and Payments,low,1 - Junior,Technical,In Progress,20-06-2024,15-06-2024,EU
IT032,Incident,Technical Support,high,2 - Regular,Network,Open,29-06-2024,16-06-2024,EU
IT033,Request,Technical Support,high,2 - Regular,Integration,Open,15-06-2024,20-06-2024,LATAM
IT034,Change,Technical Support,high,2 - Regular,Customer,Open,15-06-2024,23-06-2024,APAC
IT035,Request,Customer Service,low,4 - Management,Sales,In Progress,16-06-2024,26-06-2024,EU
IT036,Incident,IT Support,medium,4 - Management,Performance,Resolved,17-06-2024,29-06-2024,LATAM
IT037,Request,IT Support,medium,2 - Regular,Integration,In Progress,20-06-2024,29-06-2024,EU
IT038,Incident,Service Outages and Maintenance,high,3 - Senior,Outage,Open,29-06-2024,15-06-2024,EU
IT039,Request,Technical Support,low,4 - Management,Sales,Resolved,15-06-2024,15-06-2024,LATAM
IT040,Change,IT Support,medium,4 - Management,IT,Open,15-06-2024,16-06-2024,NA
IT041,Problem,IT Support,high,2 - Regular,Network,Open,16-06-2024,17-06-2024,MEA
IT042,Incident,IT Support,low,3 - Senior,Bug,In Progress,17-06-2024,29-06-2024,NA
IT043,Problem,IT Support,high,4 - Management,Bug,Resolved,20-06-2024,29-06-2024,LATAM
IT044,Problem,Billing and Payments,high,2 - Regular,IT,In Progress,29-06-2024,15-06-2024,LATAM
IT045,Incident,Customer Service,low,2 - Regular,Virus,Open,15-06-2024,15-06-2024,APAC
IT046,Request,Billing and Payments,low,3 - Senior,Payment,Resolved,15-06-2024,17-06-2024,LATAM
IT047,Change,IT Support,medium,2 - Regular,Performance,In Progress,15-06-2024,20-06-2024,NA
IT048,Incident,Customer Service,medium,3 - Senior,Performance,Open,15-06-2024,29-06-2024,NA
IT049,Request,Product Support,high,1 - Junior,Security,Open,16-06-2024,15-06-2024,APAC
IT050,Incident,Technical Support,low,1 - Junior,Disruption,Open,17-06-2024,16-06-2024,EU
IT051,Incident,IT Support,medium,4 - Management,Hardware,In Progress,20-06-2024,17-06-2024,MEA
IT052,Incident,Technical Support,medium,2 - Regular,Performance,Resolved,23-06-2024,29-06-2024,APAC
IT053,Request,Customer Service,medium,1 - Junior,Strategy,In Progress,26-06-2024,15-06-2024,NA
IT054,Request,Billing and Payments,high,2 - Regular,Payment,Open,29-06-2024,16-06-2024,MEA
IT055,Incident,Technical Support,low,2 - Regular,Customer,Resolved,15-06-2024,20-06-2024,MEA
IT056,Incident,Human Resources,medium,2 - Regular,Performance,Open,15-06-2024,23-06-2024,NA
IT057,Incident,Technical Support,high,3 - Senior,Performance,Open,16-06-2024,26-06-2024,EU
IT058,Problem,Product Support,medium,2 - Regular,Bug,In Progress,17-06-2024,15-06-2024,EU
IT059,Request,Technical Support,medium,2 - Regular,Sales,Resolved,20-06-2024,15-06-2024,LATAM
IT060,Incident,Technical Support,medium,1 - Junior,Tech Support,In Progress,23-06-2024,16-06-2024,LATAM
IT061,Request,Technical Support,medium,2 - Regular,Software,Open,26-06-2024,20-06-2024,EU
IT062,Request,Customer Service,high,3 - Senior,Product,Resolved,29-06-2024,26-06-2024,APAC
IT063,Incident,Technical Support,high,2 - Regular,Performance,In Progress,29-06-2024,29-06-2024,APAC
IT064,Incident,Returns and Exchanges,medium,4 - Management,Feedback,Open,15-06-2024,29-06-2024,NA
IT065,Change,Technical Support,high,2 - Regular,Product,Open,15-06-2024,15-06-2024,LATAM
IT066,Incident,Customer Service,low,1 - Junior,Product,Open,16-06-2024,17-06-2024,APAC
IT067,Incident,Technical Support,low,2 - Regular,Campaign,In Progress,17-06-2024,20-06-2024,NA
IT068,Incident,Product Support,medium,2 - Regular,Performance,Resolved,20-06-2024,26-06-2024,MEA
IT069,Request,Billing and Payments,medium,2 - Regular,Security,In Progress,23-06-2024,29-06-2024,MEA
IT070,Problem,IT Support,medium,4 - Management,Security,Open,26-06-2024,29-06-2024,MEA
IT071,Request,Technical Support,medium,2 - Regular,Product,Resolved,29-06-2024,15-06-2024,EU
IT072,Request,Technical Support,high,2 - Regular,Tech Support,Open,29-06-2024,16-06-2024,LATAM
IT073,Incident,Technical Support,medium,4 - Management,Bug,Open,15-06-2024,17-06-2024,APAC
IT074,Change,Returns and Exchanges,low,3 - Senior,Feature,In Progress,15-06-2024,29-06-2024,EU
IT075,Incident,Billing and Payments,low,2 - Regular,IT,Resolved,16-06-2024,15-06-2024,MEA
IT076,Incident,Technical Support,high,2 - Regular,Campaign,In Progress,17-06-2024,17-06-2024,LATAM
IT077,Problem,Technical Support,high,1 - Junior,Security,Open,20-06-2024,29-06-2024,EU
IT078,Problem,Technical Support,high,2 - Regular,Outage,Resolved,29-06-2024,15-06-2024,NA
IT079,Request,Technical Support,medium,4 - Management,Feedback,In Progress,15-06-2024,16-06-2024,MEA
IT080,Problem,IT Support,high,2 - Regular,Hardware,Open,15-06-2024,20-06-2024,LATAM
IT081,Change,Sales and Pre-Sales,high,3 - Senior,Documentation,Open,16-06-2024,29-06-2024,EU
IT082,Change,Product Support,high,2 - Regular,Customer,Open,17-06-2024,15-06-2024,NA
IT083,Problem,Billing and Payments,high,1 - Junior,Breach,In Progress,20-06-2024,15-06-2024,NA
IT084,Request,Sales and Pre-Sales,medium,2 - Regular,IT,Resolved,29-06-2024,16-06-2024,EU
IT085,Change,Service Outages and Maintenance,high,1 - Junior,Performance,In Progress,15-06-2024,17-06-2024,LATAM
IT086,Request,Billing and Payments,low,2 - Regular,Product,Open,15-06-2024,20-06-2024,NA
IT087,Problem,Technical Support,low,4 - Management,Virus,Resolved,16-06-2024,26-06-2024,LATAM
IT088,Request,Customer Service,low,1 - Junior,Documentation,Open,17-06-2024,29-06-2024,APAC
IT089,Incident,Product Support,high,2 - Regular,Performance,Open,20-06-2024,15-06-2024,EU
